0,1,2,3,4
2009 American League Player Review Hitting Statistics League Leaderboard,2009 American League Player Review Hitting Statistics League Leaderboard,2009 American League Player Review Hitting Statistics League Leaderboard,2009 American League Player Review Hitting Statistics League Leaderboard,2009 American League Player Review Hitting Statistics League Leaderboard
Statistic,Name,Team,#,Top 25
Base on Balls,Chone Figgins,Los Angeles,101,Top 25
Batting Average,Joe Mauer,Minnesota,.365,Top 25
Doubles,Brian Roberts,Baltimore,56,Top 25
Hits,Ichiro Suzuki,Seattle,225,Top 25
Home Runs,Carlos Pena,Tampa Bay,39,Top 25
Home Runs,Mark Teixeira,New York,39,Top 25
On Base Percentage,Joe Mauer,Minnesota,.444,Top 25
RBI,Mark Teixeira,New York,122,Top 25
Runs,DustinPedroia,Boston,115,Top 25
Slugging Average,Joe Mauer,Minnesota,.587,Top 25
Stolen Bases,Jacoby Ellsbury,Boston,70,Top 25
Total Bases,Mark Teixeira,New York,344,Top 25
Triples,Jacoby Ellsbury,Boston,10,Top 25
Triples,Denard Span,Minnesota,10,Top 25
Statistic,Name,Team,#,Top 25
