0,1,2,3,4
2021 American League Player Review ← 2020 | 2021 Hitting Statistics League Leaders | 2022 →,2021 American League Player Review ← 2020 | 2021 Hitting Statistics League Leaders | 2022 →,2021 American League Player Review ← 2020 | 2021 Hitting Statistics League Leaders | 2022 →,2021 American League Player Review ← 2020 | 2021 Hitting Statistics League Leaders | 2022 →,2021 American League Player Review ← 2020 | 2021 Hitting Statistics League Leaders | 2022 →
Statistic,Name,Team,#,Top 25
Base on Balls,Joey Gallo,Texas Rangers,111,Top 25
Base on Balls,Joey Gallo,New York Yankees,111,Top 25
Batting Average,Yuli Gurriel,Houston Astros,.319,Top 25
Doubles,Jeimer Candelario,Detroit Tigers,42,Top 25
Doubles,J.D. Martinez,Boston Red Sox,42,Top 25
Doubles,Whit Merrifield,Kansas City Royals,42,Top 25
Hits,Bo Bichette,Toronto Blue Jays,191,Top 25
Home Runs,Vladimir Guerrero Jr.,Toronto Blue Jays,48,Top 25
Home Runs,Salvador Perez,Kansas City Royals,48,Top 25
On Base Percentage,Vladimir Guerrero Jr.,Toronto Blue Jays,.401,Top 25
RBI,Salvador Perez,Kansas City Royals,121,Top 25
Runs,Vladimir Guerrero Jr.,Toronto Blue Jays,123,Top 25
Slugging Average,Vladimir Guerrero Jr.,Toronto Blue Jays,.601,Top 25
Stolen Bases,Whit Merrifield,Kansas City Royals,40,Top 25
Total Bases,Vladimir Guerrero Jr.,Toronto Blue Jays,363,Top 25
Triples,Shohei Ohtani,Los Angeles Angels,8,Top 25
Statistic,Name,Team,#,Top 25
2021 A.L. History | 2021 N.L. History | Year-by-Year History,2021 A.L. History | 2021 N.L. History | Year-by-Year History,2021 A.L. History | 2021 N.L. History | Year-by-Year History,2021 A.L. History | 2021 N.L. History | Year-by-Year History,2021 A.L. History | 2021 N.L. History | Year-by-Year History
