0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
2003 American League Team Review Hitting Statistics League Leaderboard,2003 American League Team Review Hitting Statistics League Leaderboard,2003 American League Team Review Hitting Statistics League Leaderboard,2003 American League Team Review Hitting Statistics League Leaderboard,2003 American League Team Review Hitting Statistics League Leaderboard,2003 American League Team Review Hitting Statistics League Leaderboard,2003 American League Team Review Hitting Statistics League Leaderboard,2003 American League Team Review Hitting Statistics League Leaderboard,2003 American League Team Review Hitting Statistics League Leaderboard,2003 American League Team Review Hitting Statistics League Leaderboard,2003 American League Team Review Hitting Statistics League Leaderboard,2003 American League Team Review Hitting Statistics League Leaderboard,2003 American League Team Review Hitting Statistics League Leaderboard,2003 American League Team Review Hitting Statistics League Leaderboard,2003 American League Team Review Hitting Statistics League Leaderboard,2003 American League Team Review Hitting Statistics League Leaderboard,2003 American League Team Review Hitting Statistics League Leaderboard
TEAM,G,AB,R,H,2B,3B,HR,RBI,TB,BB,SO,SB,CS,OBP,SLG,AVG
Anaheim,162,5487,736,1473,276,33,150,687,2265,476,838,129,61,.330,.413,.268
Baltimore,163,5665,743,1516,277,24,152,695,2297,431,902,89,36,.323,.405,.268
Boston,162,5769,961,1667,371,40,238,932,2832,620,943,88,35,.360,.491,.289
Chicago,162,5487,791,1445,303,19,220,766,2446,519,916,77,29,.331,.446,.263
Cleveland,162,5572,699,1413,296,26,158,660,2235,466,1062,86,61,.316,.401,.254
Detroit,162,5466,591,1312,201,39,153,553,2050,443,1099,98,63,.300,.375,.240
Kansas City,162,5568,836,1526,288,39,162,781,2378,476,926,120,42,.336,.427,.274
Minnesota,162,5655,801,1567,318,45,155,755,2440,512,1027,94,44,.341,.431,.277
New York,163,5605,877,1518,304,14,230,845,2540,684,1042,98,33,.356,.453,.271
Oakland,162,5497,768,1398,317,24,176,742,2291,556,898,48,14,.327,.417,.254
Seattle,162,5561,795,1509,290,33,139,759,2282,586,989,108,37,.344,.410,.271
Tampa Bay,162,5654,715,1501,298,38,137,678,2286,420,1030,142,42,.320,.404,.265
Texas,162,5664,826,1506,274,36,239,799,2569,488,1052,65,25,.330,.454,.266
Toronto,162,5661,894,1580,357,33,190,853,2573,546,1081,37,25,.349,.455,.279
2003 American League Hitting Statistics League Leaderboard,2003 American League Hitting Statistics League Leaderboard,2003 American League Hitting Statistics League Leaderboard,2003 American League Hitting Statistics League Leaderboard,2003 American League Hitting Statistics League Leaderboard,2003 American League Hitting Statistics League Leaderboard,2003 American League Hitting Statistics League Leaderboard,2003 American League Hitting Statistics League Leaderboard,2003 American League Hitting Statistics League Leaderboard,2003 American League Hitting Statistics League Leaderboard,2003 American League Hitting Statistics League Leaderboard,2003 American League Hitting Statistics League Leaderboard,2003 American League Hitting Statistics League Leaderboard,2003 American League Hitting Statistics League Leaderboard,2003 American League Hitting Statistics League Leaderboard,2003 American League Hitting Statistics League Leaderboard,2003 American League Hitting Statistics League Leaderboard
