0,1,2
2000 American League Team Review  Pitching Statistics League Leaderboard,2000 American League Team Review  Pitching Statistics League Leaderboard,2000 American League Team Review  Pitching Statistics League Leaderboard
Statistic,Team,#
Complete Games,Toronto,15
ERA,Boston,4.24
Fewest Hits Allowed,Boston,1433
Fewest Home Runs Allowed,Oakland,158
Fewest Walks Allowed,Detroit,496
Saves,Anaheim,46
Saves,Boston,46
Shutouts,Boston,12
Strikeouts,Cleveland,1213
"Seasonal Events: All-Star Game | All-Star Game | All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List Average Salary: $1,998,034.00 Minimum Salary: $200,000.00","Seasonal Events: All-Star Game | All-Star Game | All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List Average Salary: $1,998,034.00 Minimum Salary: $200,000.00","Seasonal Events: All-Star Game | All-Star Game | All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List Average Salary: $1,998,034.00 Minimum Salary: $200,000.00"
