0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
2002 American League Team Review  Pitching Statistics League Leaderboard,2002 American League Team Review  Pitching Statistics League Leaderboard,2002 American League Team Review  Pitching Statistics League Leaderboard,2002 American League Team Review  Pitching Statistics League Leaderboard,2002 American League Team Review  Pitching Statistics League Leaderboard,2002 American League Team Review  Pitching Statistics League Leaderboard,2002 American League Team Review  Pitching Statistics League Leaderboard,2002 American League Team Review  Pitching Statistics League Leaderboard,2002 American League Team Review  Pitching Statistics League Leaderboard,2002 American League Team Review  Pitching Statistics League Leaderboard,2002 American League Team Review  Pitching Statistics League Leaderboard,2002 American League Team Review  Pitching Statistics League Leaderboard,2002 American League Team Review  Pitching Statistics League Leaderboard,2002 American League Team Review  Pitching Statistics League Leaderboard,2002 American League Team Review  Pitching Statistics League Leaderboard,2002 American League Team Review  Pitching Statistics League Leaderboard
TEAM,W,L,ERA,CG,SH,SV,SVO,IP,H,R,ER,HR,HBP,BB,SO
Anaheim,99,63,3.69,7,14,54,70,1452.1,1345,644,595,169,49,509,999
Baltimore,67,95,4.46,8,3,31,46,1450.2,1491,773,719,208,54,549,967
Boston,93,69,3.75,5,17,51,68,1446.0,1339,665,603,146,84,430,1157
Chicago,81,81,4.53,7,7,35,46,1423.0,1422,798,716,190,60,528,945
Cleveland,74,88,4.91,9,4,34,53,1424.2,1508,837,777,142,57,603,1058
Detroit,55,106,4.92,11,7,33,53,1414.0,1593,864,773,163,62,463,794
Kansas City,62,100,5.21,12,6,30,54,1441.0,1587,891,834,212,52,572,909
Minnesota,94,67,4.12,8,9,47,65,1444.2,1454,712,662,184,45,439,1026
New York,103,58,3.87,9,11,53,69,1452.0,1441,697,625,144,48,403,1135
Oakland,103,59,3.68,9,19,48,68,1452.0,1391,654,593,135,62,474,1021
Seattle,93,69,4.07,8,12,43,64,1445.1,1422,699,654,178,49,441,1063
Tampa Bay,55,106,5.29,12,3,25,46,1440.1,1567,918,846,215,94,620,925
Texas,72,90,5.15,4,4,33,65,1439.2,1528,882,824,194,76,669,1030
Toronto,78,84,4.80,6,6,41,70,1438.1,1504,828,767,177,71,590,991
2002 American League Pitching Statistics League Leaderboard,2002 American League Pitching Statistics League Leaderboard,2002 American League Pitching Statistics League Leaderboard,2002 American League Pitching Statistics League Leaderboard,2002 American League Pitching Statistics League Leaderboard,2002 American League Pitching Statistics League Leaderboard,2002 American League Pitching Statistics League Leaderboard,2002 American League Pitching Statistics League Leaderboard,2002 American League Pitching Statistics League Leaderboard,2002 American League Pitching Statistics League Leaderboard,2002 American League Pitching Statistics League Leaderboard,2002 American League Pitching Statistics League Leaderboard,2002 American League Pitching Statistics League Leaderboard,2002 American League Pitching Statistics League Leaderboard,2002 American League Pitching Statistics League Leaderboard,2002 American League Pitching Statistics League Leaderboard
"Seasonal Events: All-Star Game | All-Star Game | All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List Average Salary: $2,383,235.00 Minimum Salary: $200,000.00","Seasonal Events: All-Star Game | All-Star Game | All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List Average Salary: $2,383,235.00 Minimum Salary: $200,000.00","Seasonal Events: All-Star Game | All-Star Game | All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List Average Salary: $2,383,235.00 Minimum Salary: $200,000.00","Seasonal Events: All-Star Game | All-Star Game | All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List Average Salary: $2,383,235.00 Minimum Salary: $200,000.00","Seasonal Events: All-Star Game | All-Star Game | All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List Average Salary: $2,383,235.00 Minimum Salary: $200,000.00","Seasonal Events: All-Star Game | All-Star Game | All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List Average Salary: $2,383,235.00 Minimum Salary: $200,000.00","Seasonal Events: All-Star Game | All-Star Game | All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List Average Salary: $2,383,235.00 Minimum Salary: $200,000.00","Seasonal Events: All-Star Game | All-Star Game | All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List Average Salary: $2,383,235.00 Minimum Salary: $200,000.00","Seasonal Events: All-Star Game | All-Star Game | All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List Average Salary: $2,383,235.00 Minimum Salary: $200,000.00","Seasonal Events: All-Star Game | All-Star Game | All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List Average Salary: $2,383,235.00 Minimum Salary: $200,000.00","Seasonal Events: All-Star Game | All-Star Game | All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List Average Salary: $2,383,235.00 Minimum Salary: $200,000.00","Seasonal Events: All-Star Game | All-Star Game | All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List Average Salary: $2,383,235.00 Minimum Salary: $200,000.00","Seasonal Events: All-Star Game | All-Star Game | All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List Average Salary: $2,383,235.00 Minimum Salary: $200,000.00","Seasonal Events: All-Star Game | All-Star Game | All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List Average Salary: $2,383,235.00 Minimum Salary: $200,000.00","Seasonal Events: All-Star Game | All-Star Game | All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List Average Salary: $2,383,235.00 Minimum Salary: $200,000.00","Seasonal Events: All-Star Game | All-Star Game | All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List Average Salary: $2,383,235.00 Minimum Salary: $200,000.00"
