0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
2004 American League Team Review Pitching Statistics League Leaderboard,2004 American League Team Review Pitching Statistics League Leaderboard,2004 American League Team Review Pitching Statistics League Leaderboard,2004 American League Team Review Pitching Statistics League Leaderboard,2004 American League Team Review Pitching Statistics League Leaderboard,2004 American League Team Review Pitching Statistics League Leaderboard,2004 American League Team Review Pitching Statistics League Leaderboard,2004 American League Team Review Pitching Statistics League Leaderboard,2004 American League Team Review Pitching Statistics League Leaderboard,2004 American League Team Review Pitching Statistics League Leaderboard,2004 American League Team Review Pitching Statistics League Leaderboard,2004 American League Team Review Pitching Statistics League Leaderboard,2004 American League Team Review Pitching Statistics League Leaderboard,2004 American League Team Review Pitching Statistics League Leaderboard,2004 American League Team Review Pitching Statistics League Leaderboard
TEAM,W,L,ERA,CG,SH,SV,IP,HA,R,ER,HR,HBP,BB,SO
Anaheim,92,70,4.28,2,11,50,1454.1,1476,734,692,170,44,502,1164
Baltimore,78,84,4.70,8,10,27,1455.1,1488,830,760,159,62,687,1090
Boston,98,64,4.18,4,12,36,1451.1,1430,768,674,159,92,447,1132
Chicago,83,79,4.91,8,8,34,1432.1,1505,831,782,224,48,527,1013
Cleveland,80,82,4.81,8,8,32,1466.2,1553,857,784,201,62,579,1115
Detroit,72,90,4.93,7,9,35,1439.2,1542,844,788,190,54,530,995
Kansas City,58,104,5.15,6,3,25,1420.1,1638,905,813,208,56,518,887
Minnesota,92,70,4.03,4,9,48,1476.0,1523,715,661,167,54,431,1123
New York,101,61,4.69,1,5,59,1443.2,1532,808,752,182,60,445,1058
Oakland,91,71,4.17,10,8,35,1471.1,1466,742,682,164,68,544,1034
Seattle,63,99,4.76,7,7,28,1459.1,1498,823,772,212,72,575,1036
Tampa Bay,70,91,4.81,3,5,35,1417.0,1459,842,757,192,93,580,923
Texas,89,73,4.53,5,9,52,1439.2,1536,794,724,182,81,547,979
Toronto,67,94,4.91,6,11,37,1421.0,1505,823,775,181,58,608,956
TEAM,W,L,ERA,CG,SH,SV,IP,HA,R,ER,HR,HBP,BB,SO
