0,1,2,3,4
2005 American League Pitcher Review Pitching Statistics League Leaderboard,2005 American League Pitcher Review Pitching Statistics League Leaderboard,2005 American League Pitcher Review Pitching Statistics League Leaderboard,2005 American League Pitcher Review Pitching Statistics League Leaderboard,2005 American League Pitcher Review Pitching Statistics League Leaderboard
Statistic,Name,Team,#,Top 25
Complete Games,Roy Halladay,Toronto,5,Top 25
ERA,Kevin Millwood,Cleveland,2.86,Top 25
Games,Mike Timlin,Boston,81,Top 25
Saves,Francisco Rodriguez,Los Angeles,45,Top 25
Saves,Bob Wickman,Cleveland,45,Top 25
Shutouts,Jon Garland,Chicago,3,Top 25
Strikeouts,Johan Santana,Minnesota,238,Top 25
Winning Percentage,Cliff Lee,Cleveland,.783,Top 25
Wins,Bartolo Colon,Los Angeles,21,Top 25
Statistic,Name,Team,#,Top 25
