0,1,2,3,4,5,6,7
2012 American League Standings 2012 All-Star Game | 2012 Team Standings | 2012 World Series,2012 American League Standings 2012 All-Star Game | 2012 Team Standings | 2012 World Series,2012 American League Standings 2012 All-Star Game | 2012 Team Standings | 2012 World Series,2012 American League Standings 2012 All-Star Game | 2012 Team Standings | 2012 World Series,2012 American League Standings 2012 All-Star Game | 2012 Team Standings | 2012 World Series,2012 American League Standings 2012 All-Star Game | 2012 Team Standings | 2012 World Series,2012 American League Standings 2012 All-Star Game | 2012 Team Standings | 2012 World Series,2012 American League Standings 2012 All-Star Game | 2012 Team Standings | 2012 World Series
East,Team | Roster,Wins,Losses,Ties,WP,GB,Payroll
East,New York Yankees,95,67,0,.586,--,"$197,962,289"
East,Baltimore Orioles,93,69,0,.574,2,"$81,428,999"
East,Tampa Bay Rays,90,72,0,.556,5,"$64,173,500"
East,Toronto Blue Jays,73,89,0,.451,22,"$75,489,200"
East,Boston Red Sox,69,93,0,.426,26,"$173,186,617"
Central,Team | Roster,Wins,Losses,Ties,WP,GB,Payroll
Central,Detroit Tigers,88,74,0,.543,--,"$132,300,000"
Central,Chicago White Sox,85,77,0,.525,3,"$96,919,500"
Central,Kansas City Royals,72,90,0,.444,16,"$60,916,225"
Central,Cleveland Indians,68,94,0,.420,20,"$78,430,300"
Central,Minnesota Twins,66,96,0,.407,22,"$94,085,000"
West,Team | Roster,Wins,Losses,Ties,WP,GB,Payroll
West,Oakland Athletics,94,68,0,.580,--,"$55,372,500"
West,Texas Rangers,93,69,0,.574,1,"$120,510,974"
West,Los Angeles Angels,89,73,0,.549,5,"$154,485,166"
West,Seattle Mariners,75,87,0,.463,19,"$81,978,100"
A.L.,Team | Roster,Wins,Losses,Ties,WP,GB,Payroll
2012 American League Final Standings,2012 American League Final Standings,2012 American League Final Standings,2012 American League Final Standings,2012 American League Final Standings,2012 American League Final Standings,2012 American League Final Standings,2012 American League Final Standings
